IOU U-Net,IOU OpenCV,IOU OpenCV Denoised
0.992837,0.806791,0.870391
0.991389,0.802413,0.869006
0.987918,0.815725,0.844292
0.991474,0.800151,0.862839
0.988683,0.801649,0.859299
0.990872,0.796476,0.860574
0.992334,0.800191,0.864547
0.990687,0.807592,0.861113
0.985904,0.80386,0.862059
0.990575,0.801904,0.867489
0.99059,0.797825,0.860798
0.985581,0.733023,0.758362
0.989476,0.803145,0.867693
0.992646,0.785582,0.848189
0.990563,0.79673,0.859074
0.982505,0.777771,0.809255
0.990783,0.740228,0.779916
0.990487,0.803566,0.870819
0.991726,0.806829,0.862734
0.992907,0.808538,0.863708
0.971526,0.786323,0.847412
0.991669,0.799764,0.863615
0.990336,0.785106,0.834499
0.989764,0.749276,0.80489
0.992252,0.79656,0.86008
0.989729,0.802557,0.870179
0.986772,0.816705,0.872955
0.990184,0.796498,0.859871
0.976865,0.788177,0.848292
0.963284,0.760168,0.789079
0.992524,0.801553,0.869467
0.992003,0.799221,0.864802
0.993629,0.809379,0.864126
0.975694,0.791631,0.850749
0.992785,0.771932,0.828837
0.992053,0.782011,0.827271
0.992027,0.759376,0.815515
0.991373,0.773002,0.830037
0.991125,0.799483,0.864845
0.991329,0.794604,0.858736
0.991373,0.773731,0.831604
0.991989,0.80034,0.863959
0.988829,0.810207,0.871465
0.98977,0.817231,0.872259
0.991501,0.812383,0.848834
0.991148,0.801872,0.868565
0.990273,0.796938,0.859846
0.992607,0.757204,0.812741
0.990033,0.802736,0.86631
0.989408,0.802002,0.866607
0.989708,0.799183,0.861123
0.986067,0.804278,0.861693
0.992184,0.800102,0.864726
0.987063,0.810013,0.866069
0.991002,0.772617,0.829707
0.986234,0.823764,0.84986
0.968425,0.779855,0.836263
0.991975,0.775792,0.833218
0.984458,0.799704,0.85695
0.992076,0.800705,0.864774
0.989726,0.799113,0.863627
0.974415,0.76423,0.79277
0.966473,0.805279,0.864859
0.993058,0.760045,0.814935
0.990364,0.798634,0.862612
0.983446,0.800138,0.821749
0.990375,0.799001,0.866395
0.992572,0.795927,0.862946
0.9933,0.801899,0.867956
0.991793,0.800612,0.867386
0.990685,0.80042,0.865336
0.990812,0.798719,0.865166
0.989886,0.774494,0.831894
0.989639,0.803435,0.86493
0.99124,0.797355,0.860787
0.991231,0.776937,0.835244
0.992196,0.751337,0.807029
0.990088,0.735907,0.763609
0.986797,0.820328,0.847897
0.990274,0.802074,0.869268
0.991009,0.762178,0.806639
0.989567,0.799771,0.867219
0.993078,0.79409,0.859523
0.989933,0.796691,0.862503
0.991624,0.785583,0.845333
0.992616,0.792886,0.861402
0.98988,0.799328,0.863621
0.991646,0.798928,0.861466
0.969829,0.773791,0.829899
0.990993,0.795512,0.84337
0.985599,0.815658,0.86926
0.993937,0.795259,0.863802
0.991506,0.797765,0.860389
0.969957,0.77829,0.817914
0.992221,0.802732,0.867959
0.973415,0.777754,0.837077
0.991956,0.798307,0.861864
0.989824,0.808102,0.871467
0.990474,0.774906,0.832642
0.99023,0.798205,0.864237
0.991569,0.80287,0.868302
0.991227,0.777953,0.83561
0.990153,0.807176,0.869203
0.990985,0.796691,0.86091
0.990506,0.810921,0.877606
0.98027,0.727042,0.746449
0.989118,0.805352,0.863076
0.98418,0.805774,0.859014
0.992867,0.796289,0.862512
0.978159,0.755595,0.801974
0.990306,0.79821,0.865238
0.981824,0.793157,0.851134
0.989742,0.801114,0.86703
0.990706,0.798975,0.864278
0.992072,0.817854,0.855146
0.991265,0.801626,0.867095
0.989141,0.779992,0.809516
0.990802,0.768001,0.809993
0.990472,0.798422,0.865477
0.99349,0.797716,0.863932
0.987611,0.811131,0.868961
0.992619,0.798258,0.862929
0.984852,0.796923,0.853433
0.991828,0.797587,0.86109
0.990217,0.796352,0.86156
0.991987,0.801198,0.867251
0.973809,0.779081,0.821246
0.970885,0.781442,0.840112
0.990889,0.807229,0.861254
0.989765,0.805591,0.871039
0.981167,0.768009,0.792698
0.991157,0.792009,0.857995
0.981187,0.779689,0.840127
0.991167,0.802315,0.865034
0.993156,0.782498,0.845216
0.991584,0.799081,0.864426
0.993235,0.797441,0.86223
0.990638,0.799463,0.863146
0.9922,0.801065,0.86714
0.989885,0.804056,0.867039
0.984699,0.787507,0.811272
0.992093,0.800548,0.867491
0.990562,0.803194,0.867325
0.990996,0.794612,0.827637
0.99044,0.768929,0.812425
0.991945,0.797035,0.859061
0.988103,0.814008,0.871755
0.993249,0.751588,0.805256
0.992318,0.806493,0.868311
0.991506,0.796277,0.860874
0.975553,0.75333,0.799974
0.990095,0.802647,0.863864
0.988049,0.817761,0.872478
0.991016,0.795303,0.857639
0.989853,0.794981,0.86323
0.989788,0.792435,0.860155
0.990082,0.803042,0.868494
0.978702,0.817954,0.843947
0.99224,0.799962,0.867002
0.992322,0.782165,0.82957
0.986253,0.813346,0.871253
0.990311,0.800493,0.864971
0.980344,0.782121,0.840689
0.991251,0.795606,0.862785
0.990935,0.751452,0.805681
0.992296,0.783281,0.845206
0.990249,0.792574,0.858643
0.989522,0.798241,0.863276
0.983841,0.806585,0.85999
0.989259,0.802031,0.867345
0.977407,0.795574,0.853686
0.989742,0.805793,0.871573
0.992553,0.801762,0.869353
0.99092,0.798579,0.86303
0.991927,0.798822,0.863514
0.975948,0.757224,0.802629
0.989534,0.801646,0.870778
0.983877,0.732997,0.759275
0.964027,0.809838,0.864136
0.986819,0.771627,0.802831
0.979124,0.780538,0.835539
0.976293,0.800417,0.825462
0.992189,0.751101,0.806045
0.991534,0.797673,0.865513
0.958409,0.815423,0.862555
0.994331,0.795343,0.843809
0.991414,0.804501,0.868196
0.982258,0.794549,0.849718
0.993537,0.798698,0.86873
0.992157,0.799937,0.863379
0.991597,0.773244,0.831449
0.977068,0.810536,0.837204
0.993543,0.789203,0.84802
0.991063,0.802464,0.862542
0.990422,0.796694,0.857852
0.989907,0.800115,0.863014
0.990524,0.802527,0.857486
0.990723,0.807902,0.876513
0.980953,0.795496,0.856019
0.966372,0.779126,0.840035
0.992301,0.80253,0.867923
0.989205,0.799303,0.863435
0.992034,0.798854,0.86409
0.993031,0.810424,0.847664
